id,category,tool,adaptive_score,static_score,adaptive_events,static_events,adaptive_switches,static_switches,adaptive_steps,static_steps,score_delta,events_delta
real_ssh_hydra_root,ssh_brute_force,hydra,1,1,9,9,fake_admin_success,0,7,7,0,0
real_ssh_hydra_admin,ssh_brute_force,hydra,189,189,106,106,expose_fake_backup,0,10,10,0,0
real_ssh_hydra_backup,ssh_brute_force,hydra,189,189,106,106,expose_fake_backup,0,10,10,0,0
real_ssh_hydra_multi_user,ssh_brute_force,hydra,1063,1063,556,556,"fake_admin_success,expose_fake_backup",0,12,13,0,0
real_ssh_hydra_ubuntu,ssh_brute_force,hydra,189,189,106,106,,0,10,10,0,0
real_ssh_medusa_root,ssh_brute_force,medusa,0,0,0,0,,0,3,3,0,0
real_ssh_medusa_admin,ssh_brute_force,medusa,0,0,0,0,,0,3,3,0,0
real_ssh_hydra_service_accounts,ssh_brute_force,hydra,801,801,417,417,,0,10,10,0,0
real_ssh_hydra_fast_root,ssh_brute_force,hydra,7,7,17,17,fake_admin_success,0,10,10,0,0
real_ssh_hydra_pi,ssh_brute_force,hydra,189,189,106,106,,0,10,10,0,0
real_ssh_hydra_test,ssh_brute_force,hydra,189,189,106,106,,0,10,10,0,0
real_ssh_hydra_deploy,ssh_brute_force,hydra,189,189,106,106,,0,10,10,0,0
real_ssh_medusa_multi,ssh_brute_force,medusa,0,0,0,0,,0,3,3,0,0
real_ssh_hydra_backup_root_combo,ssh_brute_force,hydra,404,406,217,217,"expose_fake_backup,fake_admin_success",0,10,10,-2,0
real_ssh_nmap_scan,vulnerability_scan,nmap,0,0,3,3,,0,3,3,0,0
real_ssh_nmap_brute,vulnerability_scan,nmap,0,0,0,0,,0,3,3,0,0
real_web_gobuster_dir,web_enumeration,gobuster,4597,4598,4615,4616,expose_fake_config,0,10,10,-1,-1
real_web_gobuster_ext,web_enumeration,gobuster,23051,23052,23067,23068,expose_fake_config,0,10,10,-1,-1
real_web_ffuf_dir,web_enumeration,ffuf,4596,4597,4614,4615,expose_fake_config,0,10,10,-1,-1
real_web_ffuf_config,web_enumeration,ffuf,1,1,13,13,expose_fake_config,0,7,10,0,0
real_web_nikto_basic,vulnerability_scan,nikto,3919,3922,3924,3924,expose_fake_config,0,10,10,-3,0
real_web_nikto_full,vulnerability_scan,nikto,7861,7866,7830,7830,expose_fake_config,0,10,10,-5,0
real_web_nmap_http,vulnerability_scan,nmap,0,0,0,0,,0,3,3,0,0
real_web_nmap_sqli,web_exploitation,nmap,0,0,0,0,,0,3,3,0,0
real_web_curl_admin_probe,web_exploitation,curl,4,29,17,25,"expose_fake_config,fake_admin_panel",0,10,10,-25,-8
real_web_curl_sqli_payloads,web_exploitation,curl,15,48,19,38,fake_admin_panel,0,10,10,-33,-19
real_web_hydra_login,credential_attack,hydra,110,2,65,12,fake_admin_panel,0,10,10,108,53
real_web_hydra_admin_form,credential_attack,hydra,91,6,71,16,fake_admin_panel,0,10,10,85,55
real_web_bot_activity,bot_activity,curl,20,46,30,38,"expose_fake_config,fake_admin_panel",0,10,10,-26,-8
real_web_ffuf_passwords,credential_attack,ffuf,168,354,93,186,fake_admin_panel,0,10,10,-186,-93
real_ssh_postex_light,ssh_post_exploitation,paramiko,1,0,6,0,fake_admin_success,0,8,0,1,6
real_ssh_postex_heavy,ssh_post_exploitation,paramiko,2,0,13,0,fake_admin_success,0,18,0,2,13
real_ssh_postex_backup_read,ssh_post_exploitation,paramiko,1,0,6,0,expose_fake_backup,0,5,0,1,6
real_ssh_postex_root_escalation,ssh_post_exploitation,paramiko,15,0,13,0,fake_admin_success,0,10,0,15,13
real_ssh_postex_data_exfil,ssh_post_exploitation,paramiko,0,0,13,13,fake_admin_success,0,18,19,0,0
real_ssh_recon_only,ssh_post_exploitation,paramiko,0,0,4,4,,0,4,4,0,0
real_unknown_smb_probe,unknown,nmap,0,0,0,0,,0,1,1,0,0
real_unknown_mysql_probe,unknown,nmap,0,0,0,0,,0,1,1,0,0
real_unknown_rdp_probe,unknown,nmap,0,0,0,0,,0,1,1,0,0
real_unknown_ftp_probe,unknown,nmap,0,0,0,0,,0,1,1,0,0
