id,category,tool,blueprint,expected_blueprint,blueprint_correct,switches,events_total,engagement_score,steps,report_ok,error
real_ssh_hydra_root,ssh_brute_force,hydra,ssh_bruteforce,ssh_bruteforce,True,fake_admin_success,9,1,7,True,
real_ssh_hydra_admin,ssh_brute_force,hydra,ssh_bruteforce,ssh_bruteforce,True,expose_fake_backup,106,189,10,True,
real_ssh_hydra_backup,ssh_brute_force,hydra,ssh_bruteforce,ssh_bruteforce,True,expose_fake_backup,106,189,10,True,
real_ssh_hydra_multi_user,ssh_brute_force,hydra,ssh_bruteforce,ssh_bruteforce,True,"fake_admin_success,expose_fake_backup",556,1063,12,True,
real_ssh_hydra_ubuntu,ssh_brute_force,hydra,ssh_bruteforce,ssh_bruteforce,True,,106,189,10,True,
real_ssh_medusa_root,ssh_brute_force,medusa,ssh_bruteforce,ssh_bruteforce,True,,0,0,3,True,
real_ssh_medusa_admin,ssh_brute_force,medusa,ssh_bruteforce,ssh_bruteforce,True,,0,0,3,True,
real_ssh_hydra_service_accounts,ssh_brute_force,hydra,ssh_bruteforce,ssh_bruteforce,True,,417,801,10,True,
real_ssh_hydra_fast_root,ssh_brute_force,hydra,ssh_bruteforce,ssh_bruteforce,True,fake_admin_success,17,7,10,True,
real_ssh_hydra_pi,ssh_brute_force,hydra,ssh_bruteforce,ssh_bruteforce,True,,106,189,10,True,
real_ssh_hydra_test,ssh_brute_force,hydra,ssh_bruteforce,ssh_bruteforce,True,,106,189,10,True,
real_ssh_hydra_deploy,ssh_brute_force,hydra,ssh_bruteforce,ssh_bruteforce,True,,106,189,10,True,
real_ssh_medusa_multi,ssh_brute_force,medusa,ssh_bruteforce,ssh_bruteforce,True,,0,0,3,True,
real_ssh_hydra_backup_root_combo,ssh_brute_force,hydra,ssh_bruteforce,ssh_bruteforce,True,"expose_fake_backup,fake_admin_success",217,404,10,True,
real_ssh_nmap_scan,vulnerability_scan,nmap,ssh_bruteforce,ssh_bruteforce,True,,3,0,3,True,
real_ssh_nmap_brute,vulnerability_scan,nmap,ssh_bruteforce,ssh_bruteforce,True,,0,0,3,True,
real_web_gobuster_dir,web_enumeration,gobuster,web_attack,web_attack,True,expose_fake_config,4615,4597,10,True,
real_web_gobuster_ext,web_enumeration,gobuster,web_attack,web_attack,True,expose_fake_config,23067,23051,10,True,
real_web_ffuf_dir,web_enumeration,ffuf,web_attack,web_attack,True,expose_fake_config,4614,4596,10,True,
real_web_ffuf_config,web_enumeration,ffuf,web_attack,web_attack,True,expose_fake_config,13,1,7,True,
real_web_nikto_basic,vulnerability_scan,nikto,web_attack,web_attack,True,expose_fake_config,3924,3919,10,True,
real_web_nikto_full,vulnerability_scan,nikto,web_attack,web_attack,True,expose_fake_config,7830,7861,10,True,
real_web_nmap_http,vulnerability_scan,nmap,web_attack,web_attack,True,,0,0,3,True,
real_web_nmap_sqli,web_exploitation,nmap,web_attack,web_attack,True,,0,0,3,True,
real_web_curl_admin_probe,web_exploitation,curl,web_attack,web_attack,True,"expose_fake_config,fake_admin_panel",17,4,10,True,
real_web_curl_sqli_payloads,web_exploitation,curl,web_attack,web_attack,True,fake_admin_panel,19,15,10,True,
real_web_hydra_login,credential_attack,hydra,web_attack,web_attack,True,fake_admin_panel,65,110,10,True,
real_web_hydra_admin_form,credential_attack,hydra,web_attack,web_attack,True,fake_admin_panel,71,91,10,True,
real_web_bot_activity,bot_activity,curl,web_attack,web_attack,True,"expose_fake_config,fake_admin_panel",30,20,10,True,
real_web_ffuf_passwords,credential_attack,ffuf,web_attack,web_attack,True,fake_admin_panel,93,168,10,True,
real_ssh_postex_light,ssh_post_exploitation,paramiko,ssh_bruteforce,ssh_bruteforce,True,fake_admin_success,6,1,8,True,
real_ssh_postex_heavy,ssh_post_exploitation,paramiko,ssh_bruteforce,ssh_bruteforce,True,fake_admin_success,13,2,18,True,
real_ssh_postex_backup_read,ssh_post_exploitation,paramiko,ssh_bruteforce,ssh_bruteforce,True,expose_fake_backup,6,1,5,True,
real_ssh_postex_root_escalation,ssh_post_exploitation,paramiko,ssh_bruteforce,ssh_bruteforce,True,fake_admin_success,13,15,10,True,
real_ssh_postex_data_exfil,ssh_post_exploitation,paramiko,ssh_bruteforce,ssh_bruteforce,True,fake_admin_success,13,0,18,True,
real_ssh_recon_only,ssh_post_exploitation,paramiko,ssh_bruteforce,ssh_bruteforce,True,,4,0,4,True,
real_unknown_smb_probe,unknown,nmap,monitor_only,monitor_only,True,,0,0,1,True,
real_unknown_mysql_probe,unknown,nmap,monitor_only,monitor_only,True,,0,0,1,True,
real_unknown_rdp_probe,unknown,nmap,monitor_only,monitor_only,True,,0,0,1,True,
real_unknown_ftp_probe,unknown,nmap,monitor_only,monitor_only,True,,0,0,1,True,
