ts,phase,container_count,avg_container_cpu_pct,host_cpu_pct,host_mem_pct,host_mem_used_mb,host_disk_read_mb,host_disk_write_mb
2026-06-01T19:39:26.796999+00:00,concurrency_level_1,1,0.0,32.7,47.7,7843.6,2895.5,6212.2
2026-06-01T19:39:29.324769+00:00,concurrency_level_1,1,41.04,10.4,47.8,7856.6,2895.5,6213.0
2026-06-01T19:39:32.861337+00:00,concurrency_level_1,1,0.02,20.2,47.7,7843.6,2895.5,6213.1
2026-06-01T19:39:36.400393+00:00,concurrency_level_1,1,0.02,3.8,47.7,7846.1,2895.5,6215.0
2026-06-01T19:39:39.935662+00:00,concurrency_level_1,1,0.02,2.6,47.5,7821.8,2895.5,6215.2
2026-06-01T19:39:43.477391+00:00,concurrency_level_1,1,0.02,3.3,47.6,7833.5,2895.5,6215.4
2026-06-01T19:39:46.998971+00:00,concurrency_level_1,1,0.05,1.7,47.5,7822.2,2895.5,6216.4
2026-06-01T19:39:50.538837+00:00,concurrency_level_1,1,0.02,2.8,47.5,7814.1,2895.5,6216.5
2026-06-01T19:39:54.075595+00:00,concurrency_level_1,1,0.02,3.2,47.6,7828.3,2895.5,6217.6
2026-06-01T19:39:57.613550+00:00,concurrency_level_1,1,0.02,2.6,47.5,7818.9,2895.5,6221.4
2026-06-01T19:40:01.150617+00:00,concurrency_level_1,1,0.02,4.1,47.7,7841.7,2895.5,6223.2
2026-06-01T19:40:04.689302+00:00,concurrency_level_1,1,0.02,2.5,47.6,7832.0,2895.5,6224.1
2026-06-01T19:40:08.229067+00:00,concurrency_level_1,1,0.02,2.7,47.6,7834.8,2895.5,6225.2
2026-06-01T19:40:11.767991+00:00,concurrency_level_1,1,0.02,2.7,47.6,7831.9,2895.5,6225.2
2026-06-01T19:40:15.304838+00:00,concurrency_level_1,1,0.01,3.2,47.6,7826.8,2895.5,6225.5
2026-06-01T19:40:18.842154+00:00,concurrency_level_1,1,0.02,4.4,47.6,7830.8,2895.5,6226.5
2026-06-01T19:40:22.383685+00:00,concurrency_level_1,1,0.02,3.4,47.6,7825.4,2895.5,6226.6
2026-06-01T19:40:25.923059+00:00,concurrency_level_1,1,0.01,3.2,47.6,7828.5,2895.5,6227.7
2026-06-01T19:40:29.461781+00:00,concurrency_level_1,1,0.02,1.8,47.5,7814.7,2895.5,6229.5
2026-06-01T19:40:32.998763+00:00,concurrency_level_1,0,0.0,3.5,47.5,7813.7,2895.5,6230.6
2026-06-01T19:40:39.324488+00:00,concurrency_level_5,3,0.0,52.8,48.3,7947.2,2895.5,6247.9
2026-06-01T19:40:41.857003+00:00,concurrency_level_5,5,34.03,17.2,49.6,8154.3,2895.5,6253.5
2026-06-01T19:40:46.423152+00:00,concurrency_level_5,5,66.42,63.6,49.7,8177.9,2895.5,6253.7
2026-06-01T19:40:50.995324+00:00,concurrency_level_5,5,0.02,58.0,49.9,8205.7,2895.5,6264.6
2026-06-01T19:40:55.549362+00:00,concurrency_level_5,5,0.02,2.6,49.5,8143.4,2895.5,6264.7
2026-06-01T19:41:00.115442+00:00,concurrency_level_5,5,0.02,5.4,49.6,8158.6,2895.5,6269.8
2026-06-01T19:41:04.670938+00:00,concurrency_level_5,5,0.02,2.4,49.4,8130.9,2895.5,6269.8
2026-06-01T19:41:09.226839+00:00,concurrency_level_5,5,0.02,4.8,49.7,8180.2,2895.5,6274.8
2026-06-01T19:41:13.783172+00:00,concurrency_level_5,5,0.02,4.5,49.9,8206.4,2895.5,6288.4
2026-06-01T19:41:18.339196+00:00,concurrency_level_5,5,0.02,1.8,49.6,8160.4,2895.5,6294.6
2026-06-01T19:41:22.895223+00:00,concurrency_level_5,5,0.02,7.7,49.7,8172.0,2895.5,6301.5
2026-06-01T19:41:27.451041+00:00,concurrency_level_5,5,0.02,3.4,49.3,8118.5,2895.5,6301.6
2026-06-01T19:41:31.999928+00:00,concurrency_level_5,5,0.02,4.5,49.6,8157.6,2895.5,6306.5
2026-06-01T19:41:36.556171+00:00,concurrency_level_5,5,0.02,2.6,49.4,8122.6,2895.5,6306.6
2026-06-01T19:41:41.113020+00:00,concurrency_level_5,5,0.02,4.0,49.6,8154.4,2895.5,6311.5
2026-06-01T19:41:45.667741+00:00,concurrency_level_5,0,0.0,2.2,49.4,8123.8,2895.5,6312.1
2026-06-01T19:41:54.362114+00:00,concurrency_level_10,2,0.0,44.7,48.4,7967.5,2895.6,6355.5
2026-06-01T19:41:56.888680+00:00,concurrency_level_10,5,27.94,17.3,49.9,8209.1,2895.6,6361.6
2026-06-01T19:42:01.456975+00:00,concurrency_level_10,5,68.47,63.2,49.9,8217.7,2895.6,6367.5
2026-06-01T19:42:06.013438+00:00,concurrency_level_10,5,0.02,57.8,50.0,8231.7,2895.6,6376.9
2026-06-01T19:42:10.570085+00:00,concurrency_level_10,5,0.02,2.3,49.6,8160.6,2895.6,6377.6
2026-06-01T19:42:15.124631+00:00,concurrency_level_10,5,0.02,4.1,49.5,8145.5,2895.6,6382.5
2026-06-01T19:42:19.677518+00:00,concurrency_level_10,5,0.02,1.8,49.4,8129.2,2895.6,6382.5
2026-06-01T19:42:24.229256+00:00,concurrency_level_10,5,0.02,4.4,49.6,8164.3,2895.6,6387.6
2026-06-01T19:42:28.790466+00:00,concurrency_level_10,5,0.02,5.5,49.8,8200.1,2895.6,6398.8
2026-06-01T19:42:33.344070+00:00,concurrency_level_10,5,0.02,3.1,49.5,8148.7,2895.6,6405.1
2026-06-01T19:42:37.898876+00:00,concurrency_level_10,5,0.02,6.8,50.4,8287.4,2895.6,6412.6
2026-06-01T19:42:42.455286+00:00,concurrency_level_10,5,0.02,2.1,50.0,8231.7,2895.6,6412.7
2026-06-01T19:42:47.006660+00:00,concurrency_level_10,5,0.02,4.1,50.0,8228.7,2895.6,6417.6
2026-06-01T19:42:51.567539+00:00,concurrency_level_10,5,0.02,2.2,49.8,8187.3,2895.6,6417.8
2026-06-01T19:42:56.125623+00:00,concurrency_level_10,5,0.02,4.1,49.8,8201.1,2895.6,6423.4
2026-06-01T19:43:00.678796+00:00,concurrency_level_10,0,0.0,3.1,49.7,8184.4,2895.6,6423.7
2026-06-01T19:43:09.297004+00:00,concurrency_level_20,4,0.0,91.6,50.0,8221.8,2895.7,6481.0
2026-06-01T19:43:11.825448+00:00,concurrency_level_20,13,6.84,46.7,53.7,8826.7,2895.9,6497.8
2026-06-01T19:43:16.445446+00:00,concurrency_level_20,13,29.62,62.1,53.8,8844.5,2895.9,6497.9
2026-06-01T19:43:21.245922+00:00,concurrency_level_20,13,28.63,98.8,54.7,8996.2,2895.9,6502.1
2026-06-01T19:43:26.072023+00:00,concurrency_level_20,13,30.91,99.9,54.6,8978.2,2896.2,6508.2
2026-06-01T19:43:30.786037+00:00,concurrency_level_20,13,2.2,99.9,54.1,8905.8,2896.2,6511.2
2026-06-01T19:43:35.375662+00:00,concurrency_level_20,13,0.02,13.0,53.4,8781.6,2896.2,6521.0
2026-06-01T19:43:39.954713+00:00,concurrency_level_20,13,0.02,7.7,53.4,8779.2,2896.2,6533.6
2026-06-01T19:43:44.536676+00:00,concurrency_level_20,13,0.03,2.4,53.1,8734.1,2896.2,6550.4
2026-06-01T19:43:49.107954+00:00,concurrency_level_20,13,0.02,7.3,53.4,8777.8,2896.2,6580.5
2026-06-01T19:43:53.682543+00:00,concurrency_level_20,13,0.01,2.5,53.0,8716.6,2896.2,6580.7
2026-06-01T19:43:58.252914+00:00,concurrency_level_20,13,0.02,7.8,53.2,8744.4,2896.2,6593.5
2026-06-01T19:44:02.832417+00:00,concurrency_level_20,13,0.01,4.4,53.1,8736.0,2896.2,6594.7
2026-06-01T19:44:07.395978+00:00,concurrency_level_20,13,0.02,7.0,53.2,8756.6,2896.2,6606.5
2026-06-01T19:44:11.981172+00:00,concurrency_level_20,13,0.02,5.9,53.4,8789.7,2896.2,6612.3
2026-06-01T19:44:16.541512+00:00,concurrency_level_20,13,0.02,4.2,53.1,8734.5,2896.2,6620.0
2026-06-01T19:44:21.110072+00:00,concurrency_level_20,0,0.0,27.5,50.9,8376.5,2896.2,6643.2
