trial,blueprint,session_id,connection_preserved,channel_still_executes,decoy_visible_after_switch,session_id_preserved,switch_latency_ms,error,ts
1,ssh,cont_ssh_001,True,True,True,140620079815984,5053.9,,2026-06-01T19:23:34.015627+00:00
2,ssh,cont_ssh_002,True,True,True,140620080016720,5059.56,,2026-06-01T19:23:49.793107+00:00
3,ssh,cont_ssh_003,True,True,True,140620080017040,5141.82,,2026-06-01T19:24:05.636603+00:00
4,ssh,cont_ssh_004,True,True,True,140620080013200,5047.12,,2026-06-01T19:24:21.393919+00:00
5,ssh,cont_ssh_005,False,False,False,,,"{""error"": ""Session already exists: cont_ssh_005. Use a different session ID.""}",2026-06-01T19:24:22.604390+00:00
6,ssh,cont_ssh_006,True,True,True,140620078008272,5093.25,,2026-06-01T19:24:38.328644+00:00
7,ssh,cont_ssh_007,True,True,True,140620078009232,5145.34,,2026-06-01T19:24:54.122453+00:00
8,ssh,cont_ssh_008,True,True,True,140620078010192,5094.06,,2026-06-01T19:25:09.902569+00:00
9,ssh,cont_ssh_009,True,True,True,140620078011152,5092.81,,2026-06-01T19:25:25.721606+00:00
10,ssh,cont_ssh_010,True,True,True,140620078012112,5019.45,,2026-06-01T19:25:41.485558+00:00
11,ssh,cont_ssh_011,True,True,True,140620078013072,5113.24,,2026-06-01T19:25:57.315347+00:00
12,ssh,cont_ssh_012,True,True,True,140620080018640,5024.9,,2026-06-01T19:26:13.061271+00:00
13,ssh,cont_ssh_013,True,True,True,140620080017040,5087.81,,2026-06-01T19:26:28.918050+00:00
14,ssh,cont_ssh_014,True,True,True,140620080018320,5057.89,,2026-06-01T19:26:44.640073+00:00
15,ssh,cont_ssh_015,True,True,True,140620080016720,5093.94,,2026-06-01T19:27:00.451100+00:00
16,ssh,cont_ssh_016,True,True,True,140620080020880,5048.04,,2026-06-01T19:27:16.193592+00:00
17,ssh,cont_ssh_017,True,True,True,140620080018960,5037.46,,2026-06-01T19:27:32.029564+00:00
18,ssh,cont_ssh_018,True,True,True,140620078012112,5132.94,,2026-06-01T19:27:47.871176+00:00
19,ssh,cont_ssh_019,True,True,True,140620078011152,5100.76,,2026-06-01T19:28:03.614000+00:00
20,ssh,cont_ssh_020,True,True,True,140620078010192,5169.79,,2026-06-01T19:28:19.389716+00:00
1,web,cont_web_001,True,True,True,{},52.05,,2026-06-01T19:28:25.298814+00:00
2,web,cont_web_002,True,True,True,{},75.79,,2026-06-01T19:28:31.147446+00:00
3,web,cont_web_003,True,True,True,{},73.7,,2026-06-01T19:28:37.070389+00:00
4,web,cont_web_004,True,True,True,{},69.93,,2026-06-01T19:28:42.975691+00:00
5,web,cont_web_005,True,True,True,{},90.53,,2026-06-01T19:28:48.898219+00:00
6,web,cont_web_006,True,True,True,{},67.99,,2026-06-01T19:28:54.640107+00:00
7,web,cont_web_007,True,True,True,{},103.39,,2026-06-01T19:29:00.597251+00:00
8,web,cont_web_008,True,True,True,{},76.61,,2026-06-01T19:29:06.461104+00:00
9,web,cont_web_009,True,True,True,{},61.09,,2026-06-01T19:29:12.273270+00:00
10,web,cont_web_010,True,True,True,{},54.85,,2026-06-01T19:29:18.132210+00:00
11,web,cont_web_011,True,True,True,{},53.97,,2026-06-01T19:29:24.028781+00:00
12,web,cont_web_012,True,True,True,{},83.77,,2026-06-01T19:29:29.992055+00:00
13,web,cont_web_013,True,True,True,{},65.22,,2026-06-01T19:29:35.926723+00:00
14,web,cont_web_014,True,True,True,{},65.43,,2026-06-01T19:29:41.798865+00:00
15,web,cont_web_015,True,True,True,{},66.33,,2026-06-01T19:29:47.608981+00:00
16,web,cont_web_016,True,True,True,{},107.57,,2026-06-01T19:29:53.513196+00:00
17,web,cont_web_017,True,True,True,{},58.79,,2026-06-01T19:29:59.311442+00:00
18,web,cont_web_018,True,True,True,{},73.1,,2026-06-01T19:30:05.117017+00:00
19,web,cont_web_019,True,True,True,{},69.4,,2026-06-01T19:30:10.891649+00:00
20,web,cont_web_020,True,True,True,{},50.75,,2026-06-01T19:30:16.735890+00:00
